SERIAL_8E1

start 85 0b0101_0101

00972716,00972716,0
00973716,00001000,1
00974720,00001004,0
00975720,00001000,1
00976720,00001000,0
00977720,00001000,1
00978720,00001000,0
00979720,00001000,1
00980720,00001000,0
00982724,00002004,1
01973292,00990568,0

start 63 0b0011_1111

02970868,00990568,0
02971868,00001000,1
02977872,00006004,0
02980872,00003000,1
03971440,00990568,0


start 64 0b0100_0000

01057488,00991568,0
01064492,00007004,1
01065492,00001000,0
01066496,00001004,1
02058064,00991568,0

start 65 0b0100_0001

00974712,00974712,0
00975712,00001000,1
00976712,00001000,0
00981716,00005004,1
00982716,00001000,0
00984716,00002000,1
01975280,00990564,0

start 66 0b0100_0010

00973716,00973716,0
00975716,00002000,1
00976716,00001000,0
00980720,00004004,1
00981720,00001000,0
00983720,00002000,1
01974288,00990568,0

start 67 0b0100_0011

00973720,00973720,0
00974720,00001000,1
00976720,00002000,0
00980724,00004004,1
00981724,00001000,0
00982724,00001000,1
01974292,00991568,0

start 68 0b0100_0100

01973284,00990564,0
01976288,00003004,1
01977288,00001000,0
01980292,00003004,1
01981292,00001000,0
01983292,00002000,1
02973860,00990568,0

start 85 64

00976724,00976724,0
00977724,00001000,1
00978724,00001000,0
00979724,00001000,1
00980724,00001000,0
00981724,00001000,1
00982728,00001004,0
00983728,00001000,1
00984728,00001000,0
00986728,00002000,1
00987728,00001000,0
00994732,00007004,1
00995732,00001000,0
00996736,00001004,1
01977424,00980688,0
